Year,R_Value,Date,RR_Days
1884,141.9,1884-09-10,
1885,320.9,1885-06-12,275.0
1886,342.3,1886-07-15,398.0
1887,148.7,1887-09-17,429.0
1888,215.2,1888-06-26,283.0
1889,520.6,1889-05-30,338.0
1890,147.8,1890-07-19,415.0
1891,264.3,1891-05-14,299.0
1892,275.4,1892-06-16,399.0
1893,175.6,1893-10-03,474.0
1894,258.8,1894-10-05,367.0
1895,108.1,1895-07-28,296.0
1896,132.5,1896-10-06,436.0
1897,153.0,1897-06-28,265.0
1898,89.0,1898-06-07,344.0
1899,132.6,1899-08-23,442.0
1900,214.7,1900-06-15,296.0
1901,107.5,1901-04-07,296.0
1902,204.7,1902-08-02,482.0
1903,215.9,1903-06-28,330.0
1904,282.5,1904-08-25,424.0
1905,202.0,1905-06-01,280.0
1906,133.7,1906-09-29,485.0
1907,140.5,1907-09-15,351.0
1908,177.8,1908-07-23,312.0
1909,162.0,1909-10-19,453.0
1910,206.0,1910-07-01,255.0
1911,218.6,1911-08-05,400.0
1912,155.7,1912-08-15,376.0
1913,103.2,1913-09-19,400.0
1914,133.5,1914-06-22,276.0
1915,124.1,1915-10-19,484.0
1916,231.7,1916-06-01,226.0
1917,205.8,1917-07-15,409.0
1918,187.8,1918-08-03,384.0
1919,121.8,1919-07-05,336.0
1920,209.1,1920-07-19,380.0
1921,153.9,1921-09-03,411.0
1922,93.8,1922-09-21,383.0
1923,292.2,1923-10-31,405.0
1924,167.7,1924-06-23,236.0
1925,263.7,1925-07-17,389.0
1926,534.1,1926-07-19,367.0
1927,184.3,1927-05-23,308.0
1928,104.2,1928-05-29,372.0
1929,181.8,1929-08-16,444.0
1930,202.2,1930-09-17,397.0
1931,91.1,1931-12-09,448.0
1932,155.3,1932-08-04,239.0
1933,100.4,1933-09-11,403.0
1934,230.1,1934-06-22,284.0
1935,130.0,1935-06-15,358.0
1936,199.3,1936-09-07,450.0
1937,150.5,1937-09-02,360.0
1938,95.7,1938-05-20,260.0
1939,145.2,1939-04-20,335.0
1947,172.7,1947-07-01,2994.0
1948,162.5,1948-07-27,392.0
1949,168.7,1949-09-08,408.0
1950,101.5,1950-05-20,254.0
1951,180.0,1951-05-13,358.0
1952,155.9,1952-06-13,397.0
1953,153.6,1953-09-27,471.0
1954,93.5,1954-11-06,405.0
1955,135.3,1955-08-18,285.0
1956,118.1,1956-08-06,354.0
1957,246.2,1957-05-22,289.0
1958,113.5,1958-09-02,468.0
1959,270.3,1959-06-15,286.0
1960,236.1,1960-06-09,360.0
1961,122.0,1961-09-10,458.0
1962,203.0,1962-09-01,356.0
1963,71.9,1963-07-19,321.0
1964,248.5,1964-05-28,314.0
1965,325.5,1965-09-27,487.0
1966,382.6,1966-06-12,258.0
1967,128.1,1967-04-02,294.0
1968,200.0,1968-06-13,438.0
1969,220.8,1969-08-11,424.0
1970,265.1,1970-05-13,275.0
1971,288.1,1971-08-17,461.0
1972,232.6,1972-06-18,306.0
1973,251.5,1973-08-21,429.0
1974,246.0,1974-10-19,424.0
1975,215.7,1975-05-20,213.0
1976,261.3,1976-08-25,463.0
1977,119.7,1977-09-05,376.0
1978,284.8,1978-10-17,407.0
1979,245.2,1979-09-23,341.0
1980,86.2,1980-05-03,223.0
1981,128.5,1981-09-29,514.0
1982,334.2,1982-08-16,321.0
1983,346.7,1983-06-17,305.0
1984,174.7,1984-06-16,365.0
1985,208.1,1985-06-25,374.0
1986,175.1,1986-06-06,346.0
1987,138.2,1987-07-30,419.0
1988,203.5,1988-07-19,355.0
1989,322.8,1989-05-20,305.0
1990,144.8,1990-06-01,377.0
1991,192.4,1991-10-15,501.0
1992,324.1,1992-05-08,206.0
1993,223.9,1993-09-26,506.0
1994,297.0,1994-07-22,299.0
1995,242.4,1995-08-12,386.0
1996,227.0,1996-09-14,399.0
1997,199.7,1997-08-22,342.0
1998,411.3,1998-06-09,291.0
1999,276.0,1999-09-16,464.0
2000,172.5,2000-04-23,220.0
2001,142.1,2001-07-06,439.0
2002,162.8,2002-09-17,438.0
2003,141.1,2003-05-05,230.0
2004,124.4,2004-05-08,369.0
2005,303.3,2005-08-20,469.0
2006,248.3,2006-09-13,389.0
2007,100.4,2007-08-06,327.0
2008,307.1,2008-06-07,306.0
2009,190.3,2009-09-15,465.0
2010,182.4,2010-07-22,310.0
2011,106.6,2011-06-28,341.0
2012,121.5,2012-09-24,454.0
2013,230.8,2013-05-22,240.0
2014,166.1,2014-08-13,448.0
2015,191.3,2015-07-22,343.0
2016,223.4,2016-10-19,455.0
2017,273.6,2017-05-24,217.0
2018,167.5,2018-09-16,480.0
2019,178.3,2019-08-26,344.0
2020,183.8,2020-06-06,285.0
2021,329.7,2021-10-08,489.0
2022,165.5,2022-08-05,301.0
2023,425.0,2023-09-08,399.0
2024,116.2,2024-08-17,344.0
2025,1.2,2025-01-23,159.0
